id,trigger,conditions,script,text,options,notes
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Viajar pelo Portal,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Varredura do Portal,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Sair,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Continuar,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"Você mesmo despede o grupo de fiéis luddicos que manteve vigília a bordo de sua nave capitânea. Sua frota está retornando; sua devoção coletiva, ininterrupta.

— ""Bênçãos de Ludd estejam com você, capitão"", diz o líder. ""Falarei bem de você ao Profeta Retornado.""

Você sabe que deve acenar em aceitação sem levantar questões teológicas, e faz um aceno polido enquanto a nave deles deixa a baía.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Ativar ""permitir que o jogador varra portais""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Desativar ""permitir que o jogador varra portais""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Ativar ""portais ativos""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Desativar ""portais ativos""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Ativar ""jogador pode usar portais""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Desativar ""jogador pode usar portais""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explodir o portal,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Sair,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Sair,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","Uma luz fria preenche a tela de visualização, contrastando drasticamente com a escuridão absoluta do abismo do hiperespaço. Ela parece pulsar, alternando entre mais fraca e mais forte, sem seguir nenhum padrão discernível. Não pisca como uma chama, nem como um sinal de comunicação falhando, mas como... algo na fronteira de sua consciência. É...

Você percebe que consegue antecipar o ritmo, mais visto do que ouvido, a luz dançante preenchendo sua visão...

Um pigarro polido de seu oficial de sensores traz você de volta ao presente. — ""$PlayerSirOrMadam?""",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Use um Pulso de Sensores Ativo para aumentar o alcance dos sensores\n    - Use um Pulso de Interdição para aumentar o nível de queima\n    - Dura por um certo número de anos-luz percorridos\n    - Aumento maior quando usado próximo à Luz Abissal"" highlight
FireAll AbyssalLightOptions","A luz fria preenche a tela de visualização, contrastando com o abismo. O pulsar sutil da luz exige atenção, mas não oferece promessa de conforto.

Você balança a cabeça levemente, concentrando-se em seus oficiais de ponte para dar a próxima ordem.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""Sensores, o que estamos vendo?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Ops. Há algum problema?""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:Sair,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"— ""É uma luz abissal, $playerSirOrMadam.""

Seu oficial de sensores percebe rapidamente que essa afirmação é tão óbvia quanto pouco esclarecedora.

— ""E... não sabemos exatamente o que... é. Há dados fragmentários do pré-Colapso. Alguns acadêmicos especulam que pode ser um acúmulo espontâneo de energia escura, talvez, ao redor de uma quasestrutura hiperespacial temporária, um tipo de nó em dimensões superiores que altera os efeitos físicos... seja lá do que se trate.""

Você percebe seu chefe de operações fazendo o sinal manual de 'todos os selos confirmados seguros', um tipo de proteção contra o mal.",abyssalLight_what2:Continuar,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Use um Pulso de Sensor Ativo para aumentar o alcance dos sensores\n    - Use um Pulso de Interdição para aumentar o nível de queima\n    - Dura por um certo número de anos-luz percorridos\n    - Aumento maior quando usado próximo à Luz Abissal"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","""Eles não são, hum, conhecidos por serem perigosos"", continua seu oficial de sensores, teclando no console. ""O campo de propulsão deve nos manter seguros.""

""Parece altamente instável. Sempre são, e são difíceis de escanear adequadamente. Acho que, se tentássemos um escaneamento ativo ou disparássemos um pulso de interdição, ele colapsaria; a descarga resultante poderia nos permitir mapear a topografia local do hiperespaço.""",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"Seu chefe de operações, normalmente imperturbável, quase se encolhe.

""$PlayerSirOrMadam. Não, $playerSirOrMadam.""

Você deixa o silêncio pairar, deixando claro que a negação não é suficiente como resposta.

""Capitão."" O chefe de operações olha diretamente para você. ""Dizem que é... azar mexer com coisas tão profundas no hiperespaço."" Ele se endireita. ""Não tenho opinião técnica; levanto o ponto apenas por questão de moral da tripulação. Superstição de beira de doca, tenho certeza.""","abyssalLight_askOpsOutA:""Entendido, serei cuidadoso. Obrigado, chefe.""
abyssalLight_askOpsOutB:""Essa superstição não tem lugar em minha ponte, está entendido?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam"", seu chefe de operações diz, então volta para o display principal, determinado a não dar mais importância ao assunto.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""Entendido, $playerSirOrMadam."" Seu chefe de operações volta para o display principal, determinado a não dar mais importância ao assunto.",,
,,,,,,
# Abyssal Light - Shrouded Dweller,,,,,,
abyssalLightDwellerBegin,OpenInteractionDialog,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Luz fria preenche o display principal, nítida contra o abismo. O pulsar sutil exige sua atenção, mas não oferece qualquer promessa de conforto.

Após um momento, você conscientemente desvia o olhar daquele espetáculo impiedoso, centralizando sua atenção nos oficiais da ponte para dar sua próxima ordem.",abyssalLight_dwellerCont:Continuar,
abyssalLightDwellerNonLight,DwellerAttackAfterAbilityUse,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"A luz fria começa a crescer no display principal. Um pulsar sutil exige sua atenção.

""Capitão, eu-"" É seu oficial de navegação, que olha para os sensores e recebe um aceno. ""A luz está se movendo. Vindo mais perto.""

Você conscientemente desvia o olhar daquele clarão desolador — diminuído, mas não menos chamativo mesmo pela mera exibição do display principal.

Ela veio até você.",abyssalLight_dwellerCont:Continuar,
abyssalLight_dwellerContSel,DialogOptionSelected,$option == abyssalLight_dwellerCont,,"""$PlayerSirOrMadam!"" A voz do seu oficial de sensores está tensa. ""Detectando — da luz — eles vieram do nada!""

Navegação interrompe: ""$ShipOrFleet bolha de propulsão no vermelho, instabilidade aumentando... segurando... alerta para múltiplas penetrações. Fissuras no espaço normal detectadas dentro do volume.""

Uma pausa enquanto a tripulação da ponte assimila a enxurrada de alertas nos displays. Tático toma a iniciativa e aciona o alarme de combate para enviar toda a tripulação às estações de batalha. Atividade frenética em todos os postos, conversas entre as estações coordenando a resposta.

Sensores anuncia acima do burburinho: ""Está se direcionando para nossas emissões ativas de sensores.""","abyssalLight_maxSensors:Ordene um varredura de sensores, potência máxima, focada nas penetrações anômalas da bolha de propulsão
abyssalLight_wait:Esperar
abyssalLight_emCon:""Vá para controle máximo de emissão! EMCON zero-zero alfa, execução imediata.""",
abyssalLight_maxSensorsSel,DialogOptionSelected,$option == abyssalLight_maxSensors,DwellerCMD largeFleet,"""Sim, $playerSirOrMadam! Executando."" Os sensores latem, então executam habilmente uma série de sobreposições.

Seu status de $shipOrFleet está exibido no painel central — bolha de escudo em um instável âmbar, incursões de fissuras do espaço normal marcadas em vermelho berrante. Um piscar de branco enquanto os sensores ativos são ativados e —

—a pressão na bolha de propulsão dispara, um lampejo âmbar, uma cacofonia de alarmes...

* * *

Uma escuridão oculta, aguardando, espreitando, desperta subitamente. Tentáculos avançam ávidos, famintos, através das fissuras na escuridão atrás da noite.",,
abyssalLight_emConSel,DialogOptionSelected,$option == abyssalLight_emCon,DwellerCMD smallFleet,"Por sua ordem, o coro imperceptível de inúmeros sistemas e maquinários da nave se aquieta com um profundo suspiro, mergulhando em uma quietude abafada.

Tudo o que resta é a respiração e os corpos de sua tripulação de ponte, uma estranha afirmação de sua humanidade compartilhada.

Luzes de emergência de reserva, simples dispositivos químicos, fornecem um brilho sinistro. Uma série de comandos fracamente pulsantes iluminam sua interface executiva — um bando de subsistemas ardentes prontos para despertar da operação mínima ao seu toque.

* * *

Uma escuridão oculta sente o toque de uma sombra. Menos que um naco, indigno de despertar. Por algum tipo de instinto distribuído, alguns tentáculos indolentes exploram essa perturbação, essa ondulação na escuridão atrás da noite.",,
abyssalLight_dwellerWaitSel,DialogOptionSelected,$option == abyssalLight_wait,DwellerCMD mediumFleet,"Você espera.

Os alarmes são redefinidos, as restrições de batalha são ativadas. A atividade na ponte gradualmente se acalma enquanto todos os oficiais, tripulantes e sistemas atingem um estado de prontidão, até mesmo de antecipação — luta ou fuga.

As incursões se aproximam cada vez mais do centro do volume de sua tela, expandindo-se de forma implacável e intencional.

Todos os olhos estão nos painéis de comando, e toda a atenção está em sua próxima ordem.",,
,,,,,,
# Shrouded Substrate - analyzing / making weapons,,,,,,
shroudedSubstrateBegin,ShroudedSubstrateRightClick,!$player.canMakeDwellerWeapons,"ShowImageVisual shrouded_weapon_assembly
SetStoryOption shroudedSubstrateBegin 1 analyzeSubstrate technology ""Substrato Encoberto Analisado""","Você se junta ao seu oficial de tecnologia e ao chefe de engenharia em uma pequena sala de briefing com vista para a baía de oficinas dedicada ao que foi eufemisticamente chamado de ""salvamento especial"".

Técnicos de roupas de proteção trabalham nos maquinários de contenção, pisando sobre bobinas de tubos e fios. Uma bagunça de componentes improvisados foi retirada das bibliotecas comuns de microforja, desmontada e reengenheirada para operar nesta aplicação incomum, até extraordinária.

A engenharia franze a testa, teclando em um TriPad enquanto observa o trabalho em andamento. A tecnologia mal consegue conter o entusiasmo.

""$PlayerSirOrMadam,"" dizem em uníssono ao seu chegada.","shroudedSubstrateBegin:""Então. O que é isso?""
defaultLeave:Sair","# The idea that the PC would call a meeting, show up, and then leave without a word is legitimately funny to me. -dgb"
shroudedSubstrateBegin2,DialogOptionSelected,$option == shroudedSubstrateBegin,FireAll shroudedSubstrateBeginOpts,"""Matéria exótica!"" exclama o técnico.

A engenharia interrompe. ""Outra forma de dizer 'não sabemos o que é' e 'não age como a física diz que deveria'.""

Seu oficial de tecnologia recomeça, o entusiasmo um pouco contido. ""Obviamente, eu estava prestes a — $playerSirOrMadam,"" o técnico se vira para encarar apenas você, talvez para evitar mais interrupções. ""A análise é preliminar e está em andamento,"" um rápido olhar para o chefe de engenharia que franze a testa, ""com cuidado.""",,
shroudedSubstrateOptA,shroudedSubstrateBeginOpts,!$saidWhatIsIt,,,"shroudedSubstrate_optSelA:""Então... o que é isso?""",
shroudedSubstrateOptGA,shroudedSubstrateBeginOpts,$canSayGA,,,"shroudedSubstrate_optSelAga2:""A Academia de Galatia provavelmente estaria interessada, eu acho.""",
shroudedSubstrateOptB,shroudedSubstrateBeginOpts,!$saidValuable,,,"shroudedSubstrate_optSelB:""É valioso?""",
shroudedSubstrateOptC,shroudedSubstrateBeginOpts,!$saidUseful,,,"shroudedSubstrate_optSelC:""É útil?""",
shroudedSubstrateOptD,shroudedSubstrateBeginOpts,!$saidDestroyed,,,"shroudedSubstrate_optSelD:""Pode ser destruído?""",
shroudedSubstrateOptE,shroudedSubstrateBeginOpts,!$saidWeaponized,,,"shroudedSubstrate_optSelE:""Pode ser usado como arma?""",
shroudedSubstrateOptF,shroudedSubstrateBeginOpts,$saidWeaponized,,,"shroudedSubstrate_optSelF:""Mostre-me o que você pode fazer.""",
shroudedSubstrateOptSelA,DialogOptionSelected,$option == shroudedSubstrate_optSelA,"$saidWhatIsIt = true 0
$canSayGA = true 0","Seu chefe de engenharia faz questão de olhar para o Técnico com expectativa, a boca propositalmente fechada. Parece que eles já tiveram essa discussão antes.

""Ah, é..."" O Técnico passa um olhar de consternação de volta para seu engenheiro-chefe.

""Na verdade, não saberia dizer exatamente. Infelizmente, não estamos equipados para realizar uma investigação científica completa. Claramente, é parte ou produto da... força hostil que derrotamos. Mas para saber O QUE é... você precisaria de uma equipe científica completa e instalações de laboratório para sequer começar a abordar as questões certas, para não falar das respostas...","shroudedSubstrate_optSelAga:""Como a Academia de Galatia.""
shroudedSubstrate_optSelAtt:""Como a Tri-Tachyon.""",
shroudedSubstrateOptSelAga,DialogOptionSelected,$option == shroudedSubstrate_optSelAga,,"""Exatamente."" O Técnico acena. ""Embora...""","shroudedSubstrate_optSelAga2:""Embora?""",
shroudedSubstrateOptSelAga2,DialogOptionSelected,$option == shroudedSubstrate_optSelAga2,unset $canSayGA,"Seu engenheiro-chefe responde: ""Sim, não há nada como isso nos arquivos públicos. A Academia de Galatia é supostamente neutra. Mas como você sabe, $playerSirOrMadam, a Hegemonia vai interferir para assumir o controle, por assim dizer, se vir algo que não goste. A Hegemonia não gosta de desordem. E isso...""

Uma mão é estendida para indicar o conteúdo do compartimento de trabalho.

O Técnico acena em concordância: ""O Ministério de Padrões Tecnológicos certamente confiscaria tais espécimes. Não poderia dizer o que fariam com eles, mas nós nunca mais os veríamos. Isso é certo.""","shroudedSubstrate_optSelAtt:""A Tri-Tachyon, então.""",
shroudedSubstrateOptSelAga2b,DialogOptionSelected,"$option == shroudedSubstrate_optSelAga2
$saidTTthen","unset $canSayGA
FireAll shroudedSubstrateBeginOpts","Seu engenheiro-chefe responde: ""Sim, não há nada como isso nos arquivos públicos. A Academia de Galatia é supostamente neutra. Mas como você sabe, $playerSirOrMadam, a Hegemonia vai interferir para assumir o controle, por assim dizer, se vir algo que não goste. A Hegemonia não gosta de desordem. E isso...""

Uma mão é estendida para indicar o conteúdo do compartimento de trabalho.

O Técnico acena em concordância: ""O Ministério de Padrões Tecnológicos certamente confiscaria tais espécimes. Não poderia dizer o que fariam com eles, mas nós nunca mais os veríamos. Isso é certo.""",,
shroudedSubstrateOptSelAtt,DialogOptionSelected,$option == shroudedSubstrate_optSelAtt,$saidTTthen = true 0,"O Técnico acena: ""Sim, as instalações deles seriam mais do que capazes de realizar essa pesquisa. E,"" um sorriso, ""é provável que paguem muito bem, se o que dizem for verdade.""","shroudedSubstrate_optSelAttA:""O que exatamente 'eles' dizem?""
shroudedSubstrate_optSelAttB:""Quem é esse 'eles'?""",
shroudedSubstrateOptSelAttA,DialogOptionSelected,$option == shroudedSubstrate_optSelAttA,FireAll shroudedSubstrateBeginOpts,"""A Companhia paga muito bem mesmo por espécimes únicos,"" explica o Técnico. ""Artefatos; tecnologia da era do Domínio, xenobiologia. Qualquer coisa desconhecida no atual Setor Perseano, qualquer coisa estranha que possa demonstrar princípios incomuns ou ter uso inesperado.""",,
shroudedSubstrateOptSelAttB,DialogOptionSelected,$option == shroudedSubstrate_optSelAttB,FireAll shroudedSubstrateBeginOpts,"""Salvadores independentes, catadores, pesquisadores marginais,"" explica o Técnico.

""Esses tipos de pessoas que podem encontrar artefatos, espécimes; tecnologia da era do Domínio, xenobiologia. Qualquer coisa desconhecida no atual Setor Perseano, qualquer coisa estranha que possa demonstrar princípios incomuns ou ter uso inesperado. A Tri-Tachyon deixa claro que grandes recompensas serão pagas se trouxerem 'exemplos de interesse especial'.""",,
shroudedSubstrateOptSelB,DialogOptionSelected,$option == shroudedSubstrate_optSelB,"$saidValuable = true 0
FireAll shroudedSubstrateBeginOpts","""Extremamente,"" responde o Técnico, trocando um olhar com seu engenheiro-chefe. ""Se a proporção de saída de energia escalar como projetado...""

""É perigoso,"" diz o Engenheiro. ""É quase fácil demais construir uma arma com esse 'substrato'. Imagine se os Pathers...""

""—Sim, sim, outro Mairaath,"" interrompe o Técnico. ""Como qualquer tecnologia aplicada, poderosa o suficiente, poderia... $playerSirOrMadam. Para responder sua pergunta, sim, extremamente valioso.""",,
shroudedSubstrateOptSelC,DialogOptionSelected,$option == shroudedSubstrate_optSelC,"$saidUseful = true 0
FireAll shroudedSubstrateBeginOpts","""Muito,"" seu oficial de tecnologia troca outro olhar com o Engenheiro. ""Na minha opinião profissional.""

""Quando estabilizado, e... provocado, parece criar energia de... algum outro lugar. Ou transformá-la, aumentá-la. O ganho é espetacular.""

Seu engenheiro-chefe avança. ""Aquele teste com o cortador a laser teria aberto um buraco no casco se,"" um olhar para o Técnico, ""se não estivéssemos seguindo o protocolo usando uma placa de contenção na zona de testes.""

""Olha, eu admito que você estava certo em—"" O Técnico percebe sua expressão e cala a boca, adotando um ar de deferência.",,
